a	AW1
hvlhanaki	HH AO1 L HH AW1 N AW1 K IY1
hvlhanambi	HH AO1 L HH AW1 N AW1 M P IY1
hvlhandumbi	HH AO1 L HH AW1 N T UW1 M P IY1
hvlhanjiha	HH AO1 L HH AW1 N JH IY1 HH AW1
hvlhanjimbi	HH AO1 L HH AW1 N JH IY1 M P IY1
hvlhaqi	HH AO1 L HH AW1 K IY1
hvlhara	HH AO1 L HH AW1 R AW1
hvlharahv	HH AO1 L HH AW1 R AW1 HH AO1
hvlharangge	HH AO1 L HH AW1 R AW1 NG NG AH1
hvlhatu	HH AO1 L HH AW1 T UW1
hvlhi	HH AO1 L HH IY1
hvlhidaha	HH AO1 L HH IY1 T AW1 HH AW1
hvlhidambi	HH AO1 L HH IY1 T AW1 M P IY1
hvlhidame	HH AO1 L HH IY1 T AW1 M AH1
hvlhidarakv	HH AO1 L HH IY1 T AW1 R AW1 K AO1
hvlhideme	HH AO1 L HH IY1 T AH1 M AH1
hvlhikan	HH AO1 L HH IY1 K AW1 N
hvlhikini	HH AO1 L HH IY1 K IY1 N IY1
hvlhitu	HH AO1 L HH IY1 T UW1
hvlhvri	HH AO1 L HH AO1 R IY1
hvlibun	HH AO1 L IY1 P UW1 N
hvlii	HH AO1 L IY1
hvlimbufi	HH AO1 L IY1 M P UW1 F IY1
hvlimbuha	HH AO1 L IY1 M P UW1 HH AW1
hvlimbuhabi	HH AO1 L IY1 M P UW1 HH AW1 P IY1
hvlimbuhabikai	HH AO1 L IY1 M P UW1 HH AW1 P IY1 K AW1 JH
hvlimbuhangge	HH AO1 L IY1 M P UW1 HH AW1 NG NG AH1
hvlimbumbi	HH AO1 L IY1 M P UW1 M P IY1
hvlimbumbini	HH AO1 L IY1 M P UW1 M P IY1 N IY1
hvlimbume	HH AO1 L IY1 M P UW1 M AH1
hvlimburakv	HH AO1 L IY1 M P UW1 R AW1 K AO1
hvlimburakvngge	HH AO1 L IY1 M P UW1 R AW1 K AO1 NG NG AH1
hvlimbure	HH AO1 L IY1 M P UW1 R AH1
hvlimburengge	HH AO1 L IY1 M P UW1 R AH1 NG NG AH1
hvlimpa	HH AO1 L IY1 M P AW1
hvlkon	HH AO1 L K OW1 N
hvlme	HH AO1 L M AH1
hvlmen	HH AO1 L M AH1 N
hvlu	HH AO1 L UW1
hvlur	HH AO1 L UW1 R
hvluri	HH AO1 L UW1 R IY1
hvmambi	HH AO1 M AW1 M P IY1
hvman	HH AO1 M AW1 N
hvmaraka	HH AO1 M AW1 R AW1 K AW1
hvmarakabi	HH AO1 M AW1 R AW1 K AW1 P IY1
hvmarame	HH AO1 M AW1 R AW1 M AH1
hvmarshvn	HH AO1 M AW1 R S HH AO1 N
hvmbi	HH AO1 M P IY1
hvmbur	HH AO1 M P UW1 R
hvme	HH AO1 M AH1
hvmi	HH AO1 M IY1
hvmin	HH AO1 M IY1 N
hvmise	HH AO1 M IY1 S AH1
hvmsu	HH AO1 M S UW1
hvn	HH AO1 N
hvna	HH AO1 N AW1
hvnaha	HH AO1 N AW1 HH AW1
hvnambi	HH AO1 N AW1 M P IY1
hvnan	HH AO1 N AW1 N
hvndaha	HH AO1 N T AW1 HH AW1
hvndahan	HH AO1 N T AW1 HH AW1 N
hvndun	HH AO1 N T UW1 N
hvng	HH AO1 NG
hvnggon	HH AO1 NG N OW1 N
hvnggor	HH AO1 NG N OW1 R
hvngheu	HH AO1 NG HH AH1 W
hvnglu	HH AO1 NG L UW1
hvnglusi'	HH AO1 NG L UW1 S IY1
hvngni	HH AO1 NG N IY1
hvngniyaka	HH AO1 NG N JH AW1 K AW1
hvngniyoulambi	HH AO1 NG N JH OW1 W L AW1 M P IY1
hvngsi	HH AO1 NG S IY1
hvngsibuna	HH AO1 NG S IY1 P UW1 N AW1
hvngsimbi	HH AO1 NG S IY1 M P IY1
hvngsirakv	HH AO1 NG S IY1 R AW1 K AO1
hvngsitu	HH AO1 NG S IY1 T UW1
hvngtambufi	HH AO1 NG T AW1 M P UW1 F IY1
hvniha	HH AO1 N IY1 HH AW1
hvnihakv	HH AO1 N IY1 HH AW1 K AO1
hvnihin	HH AO1 N IY1 HH IY1 N
hvnimbi	HH AO1 N IY1 M P IY1
hvnime	HH AO1 N IY1 M AH1
hvnin	HH AO1 N IY1 N
hvniqi	HH AO1 N IY1 K IY1
hvnire	HH AO1 N IY1 R AH1
hvnjihen	HH AO1 N JH IY1 HH AH1 N
hvnoulambi	HH AO1 N OW1 W L AW1 M P IY1
hvnqihin	HH AO1 N K IY1 HH IY1 N
hvnqihiyan	HH AO1 N K IY1 HH JH AW1 N
hvnqikin	HH AO1 N K IY1 K IY1 N
hvnqun	HH AO1 N CH UW1 N
hvnsun	HH AO1 N S UW1 N
hvnta	HH AO1 N T AW1
hvntafi	HH AO1 N T AW1 F IY1
hvntagan	HH AO1 N T AW1 K AW1 N
hvntaha	HH AO1 N T AW1 HH AW1
hvntahan	HH AO1 N T AW1 HH AW1 N
hvntaka	HH AO1 N T AW1 K AW1
hvntana	HH AO1 N T AW1 N AW1
hvnthan	HH AO1 N T HH AW1 N
hvntoha	HH AO1 N T OW1 HH AW1
hvntoho	HH AO1 N T OW1 HH OW1
hvntung	HH AO1 N T UW1 NG
hvqahin	HH AO1 CH AW1 HH IY1 N
hvqi	HH AO1 K IY1
hvqihin	HH AO1 K IY1 HH IY1 N
hvqin	HH AO1 K IY1 N
hvqingge	HH AO1 K IY1 NG NG AH1
hvr	HH AO1 R
hvrabufi	HH AO1 R AW1 P UW1 F IY1
hvrabure	HH AO1 R AW1 P UW1 R AH1
hvragai	HH AO1 R AW1 K AW1 JH
hvragan	HH AO1 R AW1 K AW1 N
hvraha	HH AO1 R AW1 HH AW1
hvrahv	HH AO1 R AW1 HH AO1
hvran	HH AO1 R AW1 N
hvrarakv	HH AO1 R AW1 R AW1 K AO1
hvrdun	HH AO1 R T UW1 N
hvre	HH AO1 R AH1
hvrfu	HH AO1 R F UW1
hvrga	HH AO1 R K AW1
hvrgibumbi	HH AO1 R K IY1 P UW1 M P IY1
hvrgibume	HH AO1 R K IY1 P UW1 M AH1
hvrgikv	HH AO1 R K IY1 K AO1
hvrgimbi	HH AO1 R K IY1 M P IY1
hvrgime	HH AO1 R K IY1 M AH1
hvrgin	HH AO1 R K IY1 N
hvrgire	HH AO1 R K IY1 R AH1
hvrha	HH AO1 R HH AW1
hvrhadabumbi	HH AO1 R HH AW1 T AW1 P UW1 M P IY1
hvrhadambi	HH AO1 R HH AW1 T AW1 M P IY1
hvrhadame	HH AO1 R HH AW1 T AW1 M AH1
hvrhadara	HH AO1 R HH AW1 T AW1 R AW1
hvrhan	HH AO1 R HH AW1 N
hvri	HH AO1 R IY1
hvrifi	HH AO1 R IY1 F IY1
hvriha	HH AO1 R IY1 HH AW1
hvrin	HH AO1 R IY1 N
hvrka	HH AO1 R K AW1
hvron	HH AO1 R OW1 N
hvru	HH AO1 R UW1
hvrudambi	HH AO1 R UW1 T AW1 M P IY1
hvsa	HH AO1 S AW1
hvsai	HH AO1 S AW1 JH
hvsame	HH AO1 S AW1 M AH1
hvse	HH AO1 S AH1
hvsen	HH AO1 S AH1 N
hvsetai	HH AO1 S AH1 T AW1 JH
hvsha	HH AO1 S HH AW1
hvshvri	HH AO1 S HH AO1 R IY1
hvsi	HH AO1 S IY1
hvsiba	HH AO1 S IY1 P AW1
hvsibi	HH AO1 S IY1 P IY1
hvsibu	HH AO1 S IY1 P UW1
hvsibuha	HH AO1 S IY1 P UW1 HH AW1
hvsibuhabi	HH AO1 S IY1 P UW1 HH AW1 P IY1
hvsibumbi	HH AO1 S IY1 P UW1 M P IY1
hvsifi	HH AO1 S IY1 F IY1
hvsigan	HH AO1 S IY1 K AW1 N
hvsiha	HH AO1 S IY1 HH AW1
hvsihabi	HH AO1 S IY1 HH AW1 P IY1
hvsihan	HH AO1 S IY1 HH AW1 N
hvsihangge	HH AO1 S IY1 HH AW1 NG NG AH1
hvsiju	HH AO1 S IY1 JH UW1
hvsikv	HH AO1 S IY1 K AO1
hvsimbi	HH AO1 S IY1 M P IY1
hvsimbime	HH AO1 S IY1 M P IY1 M AH1
hvsimbulu	HH AO1 S IY1 M P UW1 L UW1
hvsime	HH AO1 S IY1 M AH1
hvsimu	HH AO1 S IY1 M UW1
hvsin	HH AO1 S IY1 N
hvsingga	HH AO1 S IY1 NG N AW1
hvsintai	HH AO1 S IY1 N T AW1 JH
hvsiqaha	HH AO1 S IY1 CH AW1 HH AW1
hvsire	HH AO1 S IY1 R AH1
hvsiren	HH AO1 S IY1 R AH1 N
hvsiri	HH AO1 S IY1 R IY1
hvsita	HH AO1 S IY1 T AW1
hvsitun	HH AO1 S IY1 T UW1 N
hvsoi	HH AO1 S OW1 JH
hvsotuleme	HH AO1 S OW1 T UW1 L AH1 M AH1
hvsubure	HH AO1 S UW1 P UW1 R AH1
hvsun	HH AO1 S UW1 N
hvsungge	HH AO1 S UW1 NG NG AH1
hvsuri	HH AO1 S UW1 R IY1
hvsutulame	HH AO1 S UW1 T UW1 L AW1 M AH1
hvsutule	HH AO1 S UW1 T UW1 L AH1
hvsutulebumbi	HH AO1 S UW1 T UW1 L AH1 P UW1 M P IY1
hvsutuleburengge	HH AO1 S UW1 T UW1 L AH1 P UW1 R AH1 NG NG AH1
hvsutulehe	HH AO1 S UW1 T UW1 L AH1 HH AH1
hvsutulehekv	HH AO1 S UW1 T UW1 L AH1 HH AH1 K AO1
hvsutuleki	HH AO1 S UW1 T UW1 L AH1 K IY1
hvsutulekini	HH AO1 S UW1 T UW1 L AH1 K IY1 N IY1
hvsutulembi	HH AO1 S UW1 T UW1 L AH1 M P IY1
hvsutuleme	HH AO1 S UW1 T UW1 L AH1 M AH1
hvsutuleqi	HH AO1 S UW1 T UW1 L AH1 K IY1
hvsutulerakv	HH AO1 S UW1 T UW1 L AH1 R AW1 K AO1
hvsutulere	HH AO1 S UW1 T UW1 L AH1 R AH1
hvsutulerengge	HH AO1 S UW1 T UW1 L AH1 R AH1 NG NG AH1
hvsutulme	HH AO1 S UW1 T UW1 L M AH1
hvta	HH AO1 T AW1
hvtahan	HH AO1 T AW1 HH AW1 N
hvtan	HH AO1 T AW1 N
hvtaqi	HH AO1 T AW1 K IY1
hvthvfi	HH AO1 T HH AO1 F IY1
hvthvme	HH AO1 T HH AO1 M AH1
hvthvri	HH AO1 T HH AO1 R IY1
hvton	HH AO1 T OW1 N
hvtun	HH AO1 T UW1 N
hvtung	HH AO1 T UW1 NG
hvturi	HH AO1 T UW1 R IY1
hvturingga	HH AO1 T UW1 R IY1 NG N AW1
hvudun	HH AO1 W T UW1 N
hvwa	HH AO1 AW1
hvwabumbi	HH AO1 AW1 P UW1 M P IY1
hvwafihiya	HH AO1 AW1 F IY1 HH JH AW1
hvwafihiyabumbi	HH AO1 AW1 F IY1 HH JH AW1 P UW1 M P IY1
hvwafihiyaha	HH AO1 AW1 F IY1 HH JH AW1 HH AW1
hvwafihiyambi	HH AO1 AW1 F IY1 HH JH AW1 M P IY1
hvwafihiyame	HH AO1 AW1 F IY1 HH JH AW1 M AH1
hvwafihiyan	HH AO1 AW1 F IY1 HH JH AW1 N
hvwafihiyara	HH AO1 AW1 F IY1 HH JH AW1 R AW1
hvwahiyan	HH AO1 AW1 HH JH AW1 N
hvwai	HH AO1 AW1 JH
hvwaidabuqi	HH AO1 AW1 JH T AW1 P UW1 K IY1
hvwaidanaha	HH AO1 AW1 JH T AW1 N AW1 HH AW1
hvwaingge	HH AO1 AW1 JH NG NG AH1
hvwaise	HH AO1 AW1 JH S AH1
hvwaita	HH AO1 AW1 JH T AW1
hvwaitabai	HH AO1 AW1 JH T AW1 P AW1 JH
hvwaitabufi	HH AO1 AW1 JH T AW1 P UW1 F IY1
hvwaitabuha	HH AO1 AW1 JH T AW1 P UW1 HH AW1
hvwaitabumbi	HH AO1 AW1 JH T AW1 P UW1 M P IY1
hvwaitabuqi	HH AO1 AW1 JH T AW1 P UW1 K IY1
hvwaitafi	HH AO1 AW1 JH T AW1 F IY1
hvwaitaha	HH AO1 AW1 JH T AW1 HH AW1
hvwaitahabi	HH AO1 AW1 JH T AW1 HH AW1 P IY1
hvwaitahai	HH AO1 AW1 JH T AW1 HH AW1 JH
hvwaitahangge	HH AO1 AW1 JH T AW1 HH AW1 NG NG AH1
hvwaitai	HH AO1 AW1 JH T AW1 JH
hvwaitakabi	HH AO1 AW1 JH T AW1 K AW1 P IY1
hvwaitaki	HH AO1 AW1 JH T AW1 K IY1
hvwaitakv	HH AO1 AW1 JH T AW1 K AO1
hvwaitama	HH AO1 AW1 JH T AW1 M AW1
hvwaitamb	HH AO1 AW1 JH T AW1 M P
hvwaitambi	HH AO1 AW1 JH T AW1 M P IY1
hvwaitame	HH AO1 AW1 JH T AW1 M AH1
hvwaitaqi	HH AO1 AW1 JH T AW1 K IY1
hvwaitara	HH AO1 AW1 JH T AW1 R AW1
hvwaitarakv	HH AO1 AW1 JH T AW1 R AW1 K AO1
hvwaitarambumbi	HH AO1 AW1 JH T AW1 R AW1 M P UW1 M P IY1
hvwaitarangge	HH AO1 AW1 JH T AW1 R AW1 NG NG AH1
hvwaiwafi	HH AO1 AW1 JH W AW1 F IY1
hvwaizi	HH AO1 AW1 JH D IY1
hvwajabume	HH AO1 AW1 JH AW1 P UW1 M AH1
hvwajafi	HH AO1 AW1 JH AW1 F IY1
hvwajaha	HH AO1 AW1 JH AW1 HH AW1
hvwajahabi	HH AO1 AW1 JH AW1 HH AW1 P IY1
hvwajahangge	HH AO1 AW1 JH AW1 HH AW1 NG NG AH1
hvwajambi	HH AO1 AW1 JH AW1 M P IY1
hvwajambikai	HH AO1 AW1 JH AW1 M P IY1 K AW1 JH
hvwajame	HH AO1 AW1 JH AW1 M AH1
hvwajan	HH AO1 AW1 JH AW1 N
hvwajara	HH AO1 AW1 JH AW1 R AW1
hvwajarahv	HH AO1 AW1 JH AW1 R AW1 HH AO1
hvwajatala	HH AO1 AW1 JH AW1 T AW1 L AW1
hvwajiyou	HH AO1 AW1 JH JH OW1 W
hvwakiya	HH AO1 AW1 K JH AW1
hvwakiyabumbi	HH AO1 AW1 K JH AW1 P UW1 M P IY1
hvwakiyafi	HH AO1 AW1 K JH AW1 F IY1
hvwakiyaha	HH AO1 AW1 K JH AW1 HH AW1
hvwakiyambi	HH AO1 AW1 K JH AW1 M P IY1
hvwakiyame	HH AO1 AW1 K JH AW1 M AH1
hvwakiyara	HH AO1 AW1 K JH AW1 R AW1
hvwakiyarakv	HH AO1 AW1 K JH AW1 R AW1 K AO1
hvwakjalaha	HH AO1 AW1 K JH AW1 L AW1 HH AW1
hvwaksiha	HH AO1 AW1 K S IY1 HH AW1
hvwakxaha	HH AO1 AW1 K SH AW1 HH AW1
hvwakxahalabumbi	HH AO1 AW1 K SH AW1 HH AW1 L AW1 P UW1 M P IY1
hvwakxahalambi	HH AO1 AW1 K SH AW1 HH AW1 L AW1 M P IY1
hvwakxahalame	HH AO1 AW1 K SH AW1 HH AW1 L AW1 M AH1
hvwakxahalara	HH AO1 AW1 K SH AW1 HH AW1 L AW1 R AW1
hvwakxahan	HH AO1 AW1 K SH AW1 HH AW1 N
hvwakxan	HH AO1 AW1 K SH AW1 N
hvwala	HH AO1 AW1 L AW1
hvwalabumbi	HH AO1 AW1 L AW1 P UW1 M P IY1
hvwalafi	HH AO1 AW1 L AW1 F IY1
hvwalaha	HH AO1 AW1 L AW1 HH AW1
hvwalahakv	HH AO1 AW1 L AW1 HH AW1 K AO1
hvwalambi	HH AO1 AW1 L AW1 M P IY1
hvwalame	HH AO1 AW1 L AW1 M AH1
hvwalanqi	HH AO1 AW1 L AW1 N K IY1
hvwalaqi	HH AO1 AW1 L AW1 K IY1
hvwalar	HH AO1 AW1 L AW1 R
hvwalara	HH AO1 AW1 L AW1 R AW1
hvwalarakv	HH AO1 AW1 L AW1 R AW1 K AO1
hvwalhan	HH AO1 AW1 L HH AW1 N
hvwaliyabumbi	HH AO1 AW1 L JH AW1 P UW1 M P IY1
hvwaliyafi	HH AO1 AW1 L JH AW1 F IY1
hvwaliyahakv	HH AO1 AW1 L JH AW1 HH AW1 K AO1
hvwaliyaka	HH AO1 AW1 L JH AW1 K AW1
hvwaliyakabi	HH AO1 AW1 L JH AW1 K AW1 P IY1
hvwaliyakakv	HH AO1 AW1 L JH AW1 K AW1 K AO1
hvwaliyaki	HH AO1 AW1 L JH AW1 K IY1
hvwaliyambi	HH AO1 AW1 L JH AW1 M P IY1
hvwaliyambu	HH AO1 AW1 L JH AW1 M P UW1
hvwaliyambufi	HH AO1 AW1 L JH AW1 M P UW1 F IY1
hvwaliyambuha	HH AO1 AW1 L JH AW1 M P UW1 HH AW1
hvwaliyambuhabi	HH AO1 AW1 L JH AW1 M P UW1 HH AW1 P IY1
hvwaliyambuhangge	HH AO1 AW1 L JH AW1 M P UW1 HH AW1 NG NG AH1
hvwaliyambuki	HH AO1 AW1 L JH AW1 M P UW1 K IY1
hvwaliyambumbi	HH AO1 AW1 L JH AW1 M P UW1 M P IY1
hvwaliyambume	HH AO1 AW1 L JH AW1 M P UW1 M AH1
hvwaliyamburakv	HH AO1 AW1 L JH AW1 M P UW1 R AW1 K AO1
hvwaliyambure	HH AO1 AW1 L JH AW1 M P UW1 R AH1
hvwaliyamburengge	HH AO1 AW1 L JH AW1 M P UW1 R AH1 NG NG AH1
hvwaliyame	HH AO1 AW1 L JH AW1 M AH1
hvwaliyan	HH AO1 AW1 L JH AW1 N
hvwaliyandara	HH AO1 AW1 L JH AW1 N T AW1 R AW1
hvwaliyanduha	HH AO1 AW1 L JH AW1 N T UW1 HH AW1
hvwaliyandumbi	HH AO1 AW1 L JH AW1 N T UW1 M P IY1
hvwaliyapi	HH AO1 AW1 L JH AW1 P IY1
hvwaliyaqi	HH AO1 AW1 L JH AW1 K IY1
hvwaliyaqibe	HH AO1 AW1 L JH AW1 K IY1 P AH1
hvwaliyara	HH AO1 AW1 L JH AW1 R AW1
hvwaliyashun	HH AO1 AW1 L JH AW1 S HH UW1 N
hvwaliyasi	HH AO1 AW1 L JH AW1 S IY1
hvwaliyasun	HH AO1 AW1 L JH AW1 S UW1 N
hvwaliyatara	HH AO1 AW1 L JH AW1 T AW1 R AW1
hvwaliyaxun	HH AO1 AW1 L JH AW1 SH UW1 N
hvwalman	HH AO1 AW1 L M AW1 N
hvwamiya	HH AO1 AW1 M JH AW1
hvwamiyabumbi	HH AO1 AW1 M JH AW1 P UW1 M P IY1
hvwamiyambi	HH AO1 AW1 M JH AW1 M P IY1
hvwan	HH AO1 AW1 N
hvwan'	HH AO1 AW1 N
hvwandi	HH AO1 AW1 N T IY1
hvwang	HH AO1 AW1 NG
hvwangdan	HH AO1 AW1 NG T AW1 N
hvwangdana	HH AO1 AW1 NG T AW1 N AW1
hvwangdanaha	HH AO1 AW1 NG T AW1 N AW1 HH AW1
hvwangdi	HH AO1 AW1 NG T IY1
hvwangga	HH AO1 AW1 NG N AW1
hvwanggar	HH AO1 AW1 NG N AW1 R
hvwanggiya	HH AO1 AW1 NG NG JH AW1
hvwanggiyahakv	HH AO1 AW1 NG NG JH AW1 HH AW1 K AO1
hvwanggiyakvn	HH AO1 AW1 NG NG JH AW1 K AO1 N
hvwanggiyambi	HH AO1 AW1 NG NG JH AW1 M P IY1
hvwanggiyan	HH AO1 AW1 NG NG JH AW1 N
hvwanggiyara	HH AO1 AW1 NG NG JH AW1 R AW1
hvwanggiyarak	HH AO1 AW1 NG NG JH AW1 R AW1 K
hvwanggiyarakv	HH AO1 AW1 NG NG JH AW1 R AW1 K AO1
hvwanggiyarakvn	HH AO1 AW1 NG NG JH AW1 R AW1 K AO1 N
hvwanggiyarakvqi	HH AO1 AW1 NG NG JH AW1 R AW1 K AO1 K IY1
hvwanghei	HH AO1 AW1 NG HH AH1 JH
hvwangheu	HH AO1 AW1 NG HH AH1 W
hvwangkiyahakv	HH AO1 AW1 NG K JH AW1 HH AW1 K AO1
hvwangli	HH AO1 AW1 NG L IY1
hvwangliyasun	HH AO1 AW1 NG L JH AW1 S UW1 N
hvwangse	HH AO1 AW1 NG S AH1
hvwangta	HH AO1 AW1 NG T AW1
hvwangzu	HH AO1 AW1 NG D UW1
hvwanqarame	HH AO1 AW1 N CH AW1 R AW1 M AH1
hvwanqararangge	HH AO1 AW1 N CH AW1 R AW1 R AW1 NG NG AH1
hvwanta	HH AO1 AW1 N T AW1
hvwantahvn	HH AO1 AW1 N T AW1 HH AO1 N
hvwantanaha	HH AO1 AW1 N T AW1 N AW1 HH AW1
hvwanti	HH AO1 AW1 N T IY1
hvwanumbi	HH AO1 AW1 N UW1 M P IY1
hvwaqame	HH AO1 AW1 CH AW1 M AH1
hvwaqarambi	HH AO1 AW1 CH AW1 R AW1 M P IY1
hvwaqarara	HH AO1 AW1 CH AW1 R AW1 R AW1
hvwaqihiyan	HH AO1 AW1 K IY1 HH JH AW1 N
hvwar	HH AO1 AW1 R
hvwara	HH AO1 AW1 R AW1
hvwarabumbi	HH AO1 AW1 R AW1 P UW1 M P IY1
hvwaradambi	HH AO1 AW1 R AW1 T AW1 M P IY1
hvwaraka	HH AO1 AW1 R AW1 K AW1
hvwarambi	HH AO1 AW1 R AW1 M P IY1
hvwarame	HH AO1 AW1 R AW1 M AH1
hvwaran	HH AO1 AW1 R AW1 N
hvwarara	HH AO1 AW1 R AW1 R AW1
hvwarimbi	HH AO1 AW1 R IY1 M P IY1
hvwarkan	HH AO1 AW1 R K AW1 N
hvwasa	HH AO1 AW1 S AW1
hvwasabure	HH AO1 AW1 S AW1 P UW1 R AH1
hvwasar	HH AO1 AW1 S AW1 R
hvwase	HH AO1 AW1 S AH1
hvwasihiya	HH AO1 AW1 S IY1 HH JH AW1
hvwasxan	HH AO1 AW1 S SH AW1 N
hvwatabumbi	HH AO1 AW1 T AW1 P UW1 M P IY1
hvwaxabufi	HH AO1 AW1 SH AW1 P UW1 F IY1
hvwaxabuha	HH AO1 AW1 SH AW1 P UW1 HH AW1
hvwaxabuhabikai	HH AO1 AW1 SH AW1 P UW1 HH AW1 P IY1 K AW1 JH
hvwaxabuhangge	HH AO1 AW1 SH AW1 P UW1 HH AW1 NG NG AH1
hvwaxabuki	HH AO1 AW1 SH AW1 P UW1 K IY1
hvwaxabukv	HH AO1 AW1 SH AW1 P UW1 K AO1
hvwaxabumbi	HH AO1 AW1 SH AW1 P UW1 M P IY1
hvwaxabume	HH AO1 AW1 SH AW1 P UW1 M AH1
hvwaxabuqi	HH AO1 AW1 SH AW1 P UW1 K IY1
hvwaxabure	HH AO1 AW1 SH AW1 P UW1 R AH1
hvwaxaburengge	HH AO1 AW1 SH AW1 P UW1 R AH1 NG NG AH1
hvwaxada	HH AO1 AW1 SH AW1 T AW1
hvwaxafi	HH AO1 AW1 SH AW1 F IY1
hvwaxaha	HH AO1 AW1 SH AW1 HH AW1
hvwaxahabi	HH AO1 AW1 SH AW1 HH AW1 P IY1
hvwaxaho	HH AO1 AW1 SH AW1 HH OW1
hvwaxambi	HH AO1 AW1 SH AW1 M P IY1
hvwaxame	HH AO1 AW1 SH AW1 M AH1
hvwaxan	HH AO1 AW1 SH AW1 N
hvwaxaqi	HH AO1 AW1 SH AW1 K IY1
hvwaxara	HH AO1 AW1 SH AW1 R AW1
hvwaxarakv	HH AO1 AW1 SH AW1 R AW1 K AO1
hvwaxasa	HH AO1 AW1 SH AW1 S AW1
hvwaxasai	HH AO1 AW1 SH AW1 S AW1 JH
hvwaxmbi	HH AO1 AW1 SH M P IY1
hvwe	HH AO1 AH1
hvwengdi	HH AO1 AH1 NG T IY1
hvwng	HH AO1 NG
hvxa	HH AO1 SH AW1
hvxabuha	HH AO1 SH AW1 P UW1 HH AW1
hvxahv	HH AO1 SH AW1 HH AO1
hvxaju	HH AO1 SH AW1 JH UW1
hvxakv	HH AO1 SH AW1 K AO1
hvxan	HH AO1 SH AW1 N
hvxxome	HH AO1 SH SH OW1 M AH1
hvya	HH AO1 JH AW1
hvyai	HH AO1 JH AW1 JH
hvyambi	HH AO1 JH AW1 M P IY1
hvyan	HH AO1 JH AW1 N
hvyanafi	HH AO1 JH AW1 N AW1 F IY1
hvyanahabi	HH AO1 JH AW1 N AW1 HH AW1 P IY1
hvyandumbi	HH AO1 JH AW1 N T UW1 M P IY1
hvyari	HH AO1 JH AW1 R IY1
hvyasun	HH AO1 JH AW1 S UW1 N
hvyukv	HH AO1 JH UW1 K AO1
hvyuxembi	HH AO1 JH UW1 SH AH1 M P IY1
hvyuxeme	HH AO1 JH UW1 SH AH1 M AH1
i	IY1
ibadan	IY1 P AW1 T AW1 N
ibagan	IY1 P AW1 K AW1 N
ibagangga	IY1 P AW1 K AW1 NG N AW1
ibagaxambi	IY1 P AW1 K AW1 SH AW1 M P IY1
ibaha	IY1 P AW1 HH AW1
ibahan	IY1 P AW1 HH AW1 N
ibahangga	IY1 P AW1 HH AW1 NG N AW1
ibahaqi	IY1 P AW1 HH AW1 K IY1
ibahaxambi	IY1 P AW1 HH AW1 SH AW1 M P IY1
ibai	IY1 P AW1 JH
ibakame	IY1 P AW1 K AW1 M AH1
ibakaxame	IY1 P AW1 K AW1 SH AW1 M AH1
ibakqi	IY1 P AW1 K K IY1
ibal	IY1 P AW1 L
ibandai	IY1 P AW1 N T AW1 JH
ibaxen	IY1 P AW1 SH AH1 N
ibdan	IY1 P T AW1 N
ibe	IY1 P AH1
ibebu	IY1 P AH1 P UW1
ibebufi	IY1 P AH1 P UW1 F IY1
ibebuhe	IY1 P AH1 P UW1 HH AH1
ibebumbi	IY1 P AH1 P UW1 M P IY1
ibebume	IY1 P AH1 P UW1 M AH1
ibeburakv	IY1 P AH1 P UW1 R AW1 K AO1
ibebure	IY1 P AH1 P UW1 R AH1
ibedembi	IY1 P AH1 T AH1 M P IY1
ibedeme	IY1 P AH1 T AH1 M AH1
ibeden	IY1 P AH1 T AH1 N
ibefi	IY1 P AH1 F IY1
ibegen	IY1 P AH1 K AH1 N
ibehe	IY1 P AH1 HH AH1
ibehengge	IY1 P AH1 HH AH1 NG NG AH1
ibeki	IY1 P AH1 K IY1
ibembi	IY1 P AH1 M P IY1
ibeme	IY1 P AH1 M AH1
ibenehe	IY1 P AH1 N AH1 HH AH1
ibenembi	IY1 P AH1 N AH1 M P IY1
ibeneme	IY1 P AH1 N AH1 M AH1
ibeneqi	IY1 P AH1 N AH1 K IY1
ibenere	IY1 P AH1 N AH1 R AH1
ibenjifi	IY1 P AH1 N JH IY1 F IY1
ibenjimbi	IY1 P AH1 N JH IY1 M P IY1
ibenumbi	IY1 P AH1 N UW1 M P IY1
ibeqi	IY1 P AH1 K IY1
iberakv	IY1 P AH1 R AW1 K AO1
ibere	IY1 P AH1 R AH1
ibereleme	IY1 P AH1 R AH1 L AH1 M AH1
ibereme	IY1 P AH1 R AH1 M AH1
iberi	IY1 P AH1 R IY1
ibete	IY1 P AH1 T AH1
ibexembi	IY1 P AH1 SH AH1 M P IY1
ibexeme	IY1 P AH1 SH AH1 M AH1
ibexere	IY1 P AH1 SH AH1 R AH1
ibgen	IY1 P K AH1 N
ibigan	IY1 P IY1 K AW1 N
ibiri	IY1 P IY1 R IY1
ibiyaburu	IY1 P JH AW1 P UW1 R UW1
ibiyada	IY1 P JH AW1 T AW1
ibiyaha	IY1 P JH AW1 HH AW1
ibiyahabi	IY1 P JH AW1 HH AW1 P IY1
ibiyahakv	IY1 P JH AW1 HH AW1 K AO1
ibiyahalaha	IY1 P JH AW1 HH AW1 L AW1 HH AW1
ibiyambi	IY1 P JH AW1 M P IY1
ibiyambime	IY1 P JH AW1 M P IY1 M AH1
ibiyame	IY1 P JH AW1 M AH1
ibiyaqi	IY1 P JH AW1 K IY1
